Name,Number of branch points,Number of end points,Total length um,Total surface area um^2 (assumes circular vessels),Total volume um^3 (assumes circular vessels),Average branch length,Average branch surface area,Average branch volume,Average branch radius,Average fractal dimension,Average contraction factor,Average node connectivity
12122019_12_percent_serum_depleted_media_1,90,73,15671.214131571318,1556833.4270516953,16538705.132384393,91.11171006727506,9051.357134021484,96155.26239758363,18.694393241121226,1.0258705109142179,0.9029157047545925,1.134961439588689
12122019_25_percent_serum_depleted_media_2,48,39,12621.467381140475,2174955.663820437,42579032.52628371,137.18986283848344,23640.822432830835,462815.57093786635,32.12390755794353,1.018190831692536,0.9160698694864619,1.086766314254466
12122019_50_percent_serum_depleted_media_2,73,26,16273.744002098721,4058514.405979289,100868274.17380448,133.39134427949773,33266.511524420384,826789.1325721678,45.06446257694848,1.0235743120530096,0.8999877435580544,1.5417439703153988
